kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
11599800,K05914.01,,FALSE POSITIVE,422.255426,0.3769,4.974,1935.0,5.09,277.0,1.39,17.4,1,,6273.0,4.364,-0.06,1.139,1.092,285.36389,49.629608,15.17
11599937,K05915.01,,CANDIDATE,37.6259039,0.49,3.91,411.0,1.81,519.0,17.13,11.7,1,25.0,5874.0,4.542,-0.2,0.871,0.963,285.45917,49.661942,15.013
11600299,K05916.01,,CANDIDATE,100.41475198,,1.72,,,,,,1,,,,,,,285.6911,49.690311,12.124
11601425,K05917.01,,CANDIDATE,41.9934673,0.046,3.226,293.7,1.56,503.0,15.19,9.4,1,27.0,5766.0,4.498,-0.06,0.915,0.963,286.3562,49.690128,14.847
11601633,K05918.01,,CANDIDATE,94.67782,0.3614,2.215,287.0,1.46,353.0,3.67,5.9,1,,5360.0,4.503,0.04,0.866,0.869,286.49686,49.614578,14.258
11601972,K05919.01,,CANDIDATE,290.196139,0.017,13.698,281.0,2.35,341.0,3.2,15.7,1,3.0,6238.0,4.224,0.06,1.403,1.204,286.73245,49.683189,13.511
11603298,K05920.01,,FALSE POSITIVE,471.39698,0.3379,10.714,329.9,1.87,265.0,1.16,13.1,1,,6587.0,4.463,-0.5,1.008,1.078,287.65161,49.686501,13.731
11614808,K05921.01,,CANDIDATE,175.452812,0.1526,2.734,141.8,3.96,591.0,28.77,6.1,1,,6184.0,3.58,-0.24,3.304,1.516,293.96027,49.619312,13.086
11615258,K05922.01,,CANDIDATE,367.07446,0.093,5.887,368.3,2.15,287.0,1.59,6.6,1,3.0,6315.0,4.407,-0.02,1.116,1.161,294.15775,49.614971,14.666
11615521,K05923.01,,CANDIDATE,366.684634,0.5294,3.284,456.3,10.75,444.0,9.18,9.1,1,,5090.0,3.353,0.32,4.962,2.023,294.27182,49.633869,13.026
11616434,K05924.01,,CANDIDATE,291.306507,0.3377,2.91,1132.0,2.49,219.0,0.54,7.1,1,,5031.0,4.548,-0.22,0.748,0.72,294.69086,49.626991,15.789
11651240,K05925.01,,CANDIDATE,93.006,0.4428,2.461,125.4,1.97,503.0,15.18,6.7,1,,5518.0,3.973,0.07,1.742,1.04,285.40842,49.763641,12.979
